tag,mode,capacity,setting,bit_acc,full_decode,psnr,ssim,public_decode
arch_broadcast_clean_s42,cross_channel,100,clean,0.5246875,0.0,18.647982035102025,0.9610763979144394,1.0
arch_broadcast_clean_s42,cross_channel,100,distorted,0.5090625,0.0,18.647982035102025,0.9610763979144394,1.0
arch_broadcast_distort_s42,cross_channel,100,clean,0.51421875,0.0,21.117048755237125,0.9803185383789241,1.0
arch_broadcast_distort_s42,cross_channel,100,distorted,0.516015625,0.0,21.117048755237125,0.9803185383789241,1.0
arch_grid_clean_s42,cross_channel,100,clean,1.0,1.0,17.077465677685872,0.9551162412390113,1.0
arch_grid_clean_s42,cross_channel,100,distorted,1.0,1.0,17.077465677685872,0.9551162412390113,1.0
arch_grid_distort_s42,cross_channel,100,clean,1.0,1.0,16.978987186622277,0.9532843269407749,1.0
arch_grid_distort_s42,cross_channel,100,distorted,1.0,1.0,16.978987186622277,0.9532843269407749,1.0
cap_150_s123,cross_channel,150,clean,0.99984375,0.984375,19.777528314233592,0.9776832112111151,1.0
cap_150_s123,cross_channel,150,distorted,0.99984375,0.984375,19.777528314233592,0.9776832112111151,1.0
cap_150_s42,cross_channel,150,clean,1.0,1.0,17.50200887871381,0.9603376989252865,1.0
cap_150_s42,cross_channel,150,distorted,0.9999479166666667,0.9921875,17.50200887871381,0.9603376989252865,1.0
cap_150_s7,cross_channel,150,clean,1.0,1.0,34.42129252884397,0.9992609322071075,1.0
cap_150_s7,cross_channel,150,distorted,0.97875,0.6171875,34.42129252884397,0.9992609322071075,1.0
cap_200_s123,cross_channel,200,clean,0.999921875,0.984375,19.307161870625475,0.974625158123672,1.0
cap_200_s123,cross_channel,200,distorted,0.9998828125,0.9765625,19.307161870625475,0.974625158123672,1.0
cap_200_s42,cross_channel,200,clean,1.0,1.0,19.541241759086393,0.9758311030454934,1.0
cap_200_s42,cross_channel,200,distorted,1.0,1.0,19.541241759086393,0.9758311030454934,1.0
cap_200_s7,cross_channel,200,clean,0.99953125,0.9140625,18.148440973408977,0.9662235812284052,1.0
cap_200_s7,cross_channel,200,distorted,0.9994140625,0.8828125,18.148440973408977,0.9662235812284052,1.0
cap_25_s123,cross_channel,25,clean,1.0,1.0,21.883122949951137,0.9862496023997664,1.0
cap_25_s123,cross_channel,25,distorted,1.0,1.0,21.883122949951137,0.9862496023997664,1.0
cap_25_s42,cross_channel,25,clean,1.0,1.0,34.48751047097316,0.9992689248174429,1.0
cap_25_s42,cross_channel,25,distorted,0.998125,0.9609375,34.48751047097316,0.9992689248174429,1.0
cap_25_s7,cross_channel,25,clean,0.999375,0.984375,14.733375194750668,0.918035747949034,1.0
cap_25_s7,cross_channel,25,distorted,0.99875,0.96875,14.733375194750668,0.918035747949034,1.0
cap_50_s123,cross_channel,50,clean,1.0,1.0,22.176058816085295,0.9871297087520361,1.0
cap_50_s123,cross_channel,50,distorted,0.99984375,0.9921875,22.176058816085295,0.9871297087520361,1.0
cap_50_s42,cross_channel,50,clean,1.0,1.0,18.723228874367226,0.9707413255237043,1.0
